budget_used,budget_raw,seed,train_unique_used,test_rows,acc_argmax,acc_matchprior_inductive,pi_target_true(source0),pi_target_false(source1),calib_T,thr_true_from_train
0,0,42,0,1516,0.683377308707124,0.683377308707124,0.5,0.5,1.0,0.5
0,0,43,0,1516,0.6827176781002638,0.6827176781002638,0.5,0.5,1.0,0.5
0,0,44,0,1516,0.6319261213720316,0.6319261213720316,0.5,0.5,1.0,0.5
0,0,45,0,1516,0.5930079155672823,0.5930079155672823,0.5,0.5,1.0,0.5
0,0,46,0,1516,0.6319261213720316,0.6319261213720316,0.5,0.5,1.0,0.5
10,10,42,10,1516,0.6800791556728232,0.7110817941952506,0.5,0.5,1.0,0.5957775712013245
10,10,43,10,1516,0.679419525065963,0.6728232189973615,0.5,0.5,1.0,0.48855090141296387
10,10,44,10,1516,0.633245382585752,0.6470976253298153,0.5,0.5,1.0,0.611690104007721
10,10,45,10,1516,0.5923482849604221,0.5903693931398417,0.5,0.5,1.0,0.5534396171569824
10,10,46,10,1516,0.6299472295514512,0.6926121372031663,0.5,0.5,1.0,0.5487947762012482
20,20,42,20,1516,0.679419525065963,0.7176781002638523,0.5,0.5,1.0,0.5821122527122498
20,20,43,20,1516,0.6827176781002638,0.7031662269129287,0.5,0.5,1.0,0.5302132368087769
20,20,44,20,1516,0.6299472295514512,0.6378627968337731,0.5,0.5,1.0,0.6260822415351868
20,20,45,20,1516,0.5923482849604221,0.5784960422163589,0.5,0.5,1.0,0.5765354633331299
20,20,46,20,1516,0.6405013192612137,0.7044854881266491,0.5,0.5,1.0,0.5768313407897949
50,50,42,50,1516,0.6820580474934037,0.6965699208443272,0.5,0.5,1.0,0.6078124046325684
50,50,43,50,1516,0.6807387862796834,0.7071240105540897,0.5,0.5,1.0,0.5377821326255798
50,50,44,50,1516,0.6339050131926122,0.6484168865435356,0.5,0.5,1.0,0.6049962639808655
50,50,45,50,1516,0.5903693931398417,0.587730870712401,0.5,0.5,1.0,0.5486911535263062
