suite,seed,method,cond_tag,cond_alpha_train,cond_alpha_eval,cond_pi_target,selected_round,tau_star,T_src,tgt_test_acc_tau,tgt_test_bal_acc_tau,tgt_test_macro_f1_tau,tgt_val_acc_tau,tgt_val_macro_f1_tau,tgt_test_acc_05,tgt_test_macro_f1_05,ood_test_auroc,ood_test_fpr95,cm_TN_tau,cm_FP_tau,cm_FN_tau,cm_TP_tau
base,13,source_only,base,0.0,0.0,,0,0.5079885758851704,1.181907057762146,0.5920529801324503,0.5899473684210527,0.544910132765531,0.6061415220293725,0.5602334222997112,0.5973509933774834,0.5541569541569542,,,345,35,273,102
base,13,naive_self_train,base,0.0,0.0,,4,0.11386767257723893,3.628364324569702,0.8940397350993378,0.8942105263157896,0.8939978939978939,0.9012016021361816,0.9011506798499052,0.6119205298013245,0.5414368305732273,,,330,50,30,345
base,13,topk_student,base,0.0,0.0,,3,0.09427813406053343,2.840052604675293,0.671523178807947,0.6729649122807018,0.65587461220649,0.6929238985313751,0.6813072562861667,0.6370860927152318,0.6268578643578644,,,173,207,41,334
base,13,topk_teacher,base,0.0,0.0,,4,0.1308879775436301,3.515488624572754,0.6052980132450331,0.606561403508772,0.5910343473708702,0.6435246995994659,0.6341334904253744,0.6,0.594864960909737,,,158,222,76,299
base,13,full,base,0.0,0.0,,2,0.4817021391266271,2.2091481685638428,0.623841059602649,0.6218771929824561,0.5864577547367771,0.6208277703604806,0.5802033502265587,0.6211920529801325,0.579005037979817,,,349,31,253,122
base,13,bbse_prior,base,0.0,0.0,,4,0.11885414021579843,3.1387290954589844,0.8516556291390729,0.851859649122807,0.8515616222896304,0.8491321762349799,0.8491224942732613,0.6,0.5255958920070575,,,312,68,44,331
base,17,source_only,base,0.0,0.0,,0,0.21539445604148663,1.7434343099594116,0.5602649006622517,0.5610175438596491,0.5548854983520854,0.5874499332443258,0.580559457034896,0.5549668874172186,0.4626061314759266,,,170,210,122,253
base,17,naive_self_train,base,0.0,0.0,,4,0.14837563064014703,3.6682403087615967,0.8556291390728477,0.8552982456140351,0.8551809819783516,0.8718291054739653,0.8716623354370734,0.5827814569536424,0.5020508407504883,,,344,36,73,302
base,17,topk_student,base,0.0,0.0,,2,0.14281694698752018,2.8413333892822266,0.680794701986755,0.6820877192982456,0.6687445042591422,0.7022696929238985,0.6924251213067056,0.5496688741721855,0.53612681248464,,,185,195,46,329
base,17,topk_teacher,base,0.0,0.0,,3,0.155205743940253,3.394766092300415,0.6543046357615894,0.6552631578947369,0.6473534733146143,0.6702269692923899,0.6647190481799976,0.5324503311258278,0.5167706503193848,,,194,186,75,300
base,17,full,base,0.0,0.0,,4,0.30893057549208924,3.4071404933929443,0.6490066225165563,0.6498947368421053,0.6429916080946289,0.6875834445927904,0.6835074109387189,0.5708609271523178,0.4910366523519425,,,196,184,81,294
base,17,bbse_prior,base,0.0,0.0,,4,0.11817716079845764,3.5812506675720215,0.8966887417218543,0.8967543859649123,0.896687110537248,0.9052069425901201,0.9052062667001786,0.5695364238410596,0.46939177105836205,,,337,43,35,340
base,19,source_only,base,0.0,0.0,,0,0.31677439030848065,1.227077841758728,0.5350993377483444,0.5326842105263158,0.4621819576613272,0.5420560747663551,0.4724886400269395,0.5311258278145695,0.41096741775097856,,,341,39,312,63
base,19,naive_self_train,base,0.0,0.0,,4,0.09913332735237322,3.3599231243133545,0.7814569536423841,0.7815789473684212,0.781418607711541,0.8130841121495327,0.8129877726890097,0.5655629139072847,0.4682367896653611,,,290,90,75,300
